id,time_start,time_start_epoch,time_end,time_end_epoch,duration_total_minutes,depth_heel,depth_vertical,depth_lateral,depth_max,shots_count
fa9f5fe4-98ae-11ec-8787-afba9208244b,2020-01-25 20:32:00,1579984320,2020-01-25 21:15:46,1579986946,44,18841,-99,99,18940,5
faadc4ee-98ae-11ec-8787-afba9208244b,2020-01-25 23:54:54,1579996494,2020-01-26 01:25:48,1580001948,91,10628,10397,9038,19666,10
fbbe75cc-98ae-11ec-8787-afba9208244b,2020-01-26 03:53:12,1580010792,2020-01-26 05:15:30,1580015730,82,10451,10246,8379,18830,10
